,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
418,ASIANPAINT,EQ,1216.1,1220.0,1202.25,1205.75,1205.0,1216.6,354200,428471348.2,2016-10-14,18491,INE021A01026
419,ASIANPAINT,EQ,993.75,1009.0,986.2,1006.55,1005.5,998.4,740810,740095163.3,2016-06-16,26060,INE021A01026
420,ASIANPAINT,EQ,1023.5,1032.1,1013.5,1025.3,1020.0,1024.05,2045789,2095159590.8,2016-06-03,69367,INE021A01026
421,ASIANPAINT,EQ,917.5,945.9,903.0,935.7,940.0,890.8,3032067,2809518468.15,2016-11-16,72228,INE021A01026
422,ASIANPAINT,EQ,1058.3,1075.0,1033.45,1037.15,1033.7,1062.75,1075107,1124082661.75,2016-11-03,39037,INE021A01026
423,ASIANPAINT,EQ,876.2,883.95,859.05,863.7,862.0,882.5,540771,471885224.35,2016-02-03,29175,INE021A01026
424,ASIANPAINT,EQ,855.05,860.15,836.1,840.3,839.2,858.7,985215,832364378.1,2016-02-16,57199,INE021A01026
425,ASIANPAINT,EQ,915.0,915.0,895.0,906.75,907.5,910.25,1572248,1419002129.65,2016-12-13,42778,INE021A01026
426,ASIANPAINT,EQ,940.9,944.7,924.15,934.15,934.5,937.65,889147,830378042.4,2016-12-06,29675,INE021A01026
427,ASIANPAINT,EQ,1193.0,1201.0,1188.1,1193.5,1193.5,1192.55,566690,676641620.45,2016-09-28,18339,INE021A01026
428,ASIANPAINT,EQ,988.0,995.5,980.7,984.85,988.0,984.9,1151373,1135475696.9,2016-05-31,44186,INE021A01026
429,ASIANPAINT,EQ,952.4,962.4,941.7,956.25,959.95,946.6,490332,465530026.1,2016-05-24,22554,INE021A01026
430,ASIANPAINT,EQ,879.0,881.95,866.6,874.6,874.0,872.35,886022,773930681.8,2016-01-08,37596,INE021A01026
431,ASIANPAINT,EQ,999.0,1058.1,952.0,1050.95,1055.0,1057.0,2005884,2054999448.15,2016-11-09,68000,INE021A01026
432,ASIANPAINT,EQ,1018.0,1019.0,995.7,998.8,1001.0,1018.05,1024252,1028095917.7,2016-06-09,33025,INE021A01026
433,ASIANPAINT,EQ,1029.8,1048.0,1026.55,1042.7,1041.05,1028.55,706661,734329707.2,2016-07-21,23390,INE021A01026
434,ASIANPAINT,EQ,884.9,894.3,878.5,884.2,884.8,888.6,636386,563643437.8,2016-02-09,23885,INE021A01026
435,ASIANPAINT,EQ,1170.0,1199.0,1165.4,1193.0,1197.0,1160.7,747111,884939167.8,2016-10-03,41443,INE021A01026
436,ASIANPAINT,EQ,901.4,902.0,875.1,878.4,879.0,899.9,1905631,1685795165.95,2016-12-19,50451,INE021A01026
437,ASIANPAINT,EQ,1182.3,1197.0,1175.0,1192.0,1189.0,1170.6,913747,1083062083.1,2016-09-22,34622,INE021A01026
438,ASIANPAINT,EQ,898.0,903.2,888.6,899.35,897.05,898.35,788258,707683703.9,2016-03-14,47242,INE021A01026
439,ASIANPAINT,EQ,852.6,874.65,850.0,871.95,869.3,846.1,1161059,1004608647.7,2016-03-01,45586,INE021A01026
440,ASIANPAINT,EQ,988.55,999.5,973.45,991.85,994.0,982.25,1410903,1388758283.05,2016-05-26,58474,INE021A01026
441,ASIANPAINT,EQ,876.0,888.8,869.85,876.2,875.75,875.7,1401934,1236094064.3,2016-03-09,43334,INE021A01026
442,ASIANPAINT,EQ,871.0,883.95,865.0,870.0,868.0,868.4,853331,745225781.85,2016-04-01,38495,INE021A01026
443,ASIANPAINT,EQ,1121.0,1121.0,1105.0,1113.9,1113.15,1113.5,827995,918791523.35,2016-08-22,43096,INE021A01026
444,ASIANPAINT,EQ,874.2,890.0,871.3,887.4,885.2,869.9,786217,696112066.8,2016-02-01,32872,INE021A01026
445,ASIANPAINT,EQ,1127.5,1137.7,1102.25,1114.15,1113.0,1128.0,1152956,1289792738.6,2016-07-29,49220,INE021A01026
446,ASIANPAINT,EQ,1077.1,1088.2,1072.0,1076.7,1076.5,1075.75,983171,1062172502.4,2016-11-01,73492,INE021A01026
447,ASIANPAINT,EQ,995.0,999.0,978.6,986.5,985.0,994.9,699283,689855092.3,2016-06-14,36362,INE021A01026
448,ASIANPAINT,EQ,989.05,1025.0,989.05,1021.7,1024.0,984.85,2068760,2099725232.35,2016-06-01,46332,INE021A01026
449,ASIANPAINT,EQ,1202.0,1203.0,1179.4,1192.55,1184.75,1193.0,503642,601222185.95,2016-10-04,29233,INE021A01026
450,ASIANPAINT,EQ,1072.1,1074.95,1055.0,1060.75,1062.0,1070.65,562982,597557206.4,2016-07-26,17743,INE021A01026
451,ASIANPAINT,EQ,881.3,905.0,881.3,900.65,901.4,880.8,1372748,1233761180.85,2016-01-05,52028,INE021A01026
452,ASIANPAINT,EQ,1167.0,1179.95,1156.0,1160.7,1160.0,1167.35,478253,555864946.25,2016-09-30,29959,INE021A01026
453,ASIANPAINT,EQ,870.5,876.0,866.0,874.35,874.75,866.9,692424,603380600.7,2016-04-13,27315,INE021A01026
454,ASIANPAINT,EQ,869.7,875.0,860.65,863.3,863.75,869.85,451307,391254506.45,2016-04-06,32336,INE021A01026
455,ASIANPAINT,EQ,890.0,893.0,841.65,850.3,847.0,879.25,2335330,2026373104.15,2016-01-18,70265,INE021A01026
456,ASIANPAINT,EQ,1017.1,1032.35,1016.6,1026.3,1030.0,1025.3,1574228,1613345254.9,2016-06-06,30420,INE021A01026
